pop,time,size,TMIG_WildTV,TMIG_TVWild,MODEL,ANC_EXP,TV_SHELF,TV_EXP,MIG,MIG_MODEL
TV,0,1800,1300,1300,ancnoexp_wild_Tvnoshelf_Tvnoexp,no_exp,no_shelf,no_exp,bi,
anc,220000,100000,1300,1300,ancnoexp_wild_Tvshelf_Tvbottle,no_exp,shelf,bottle,bi,
anc,5300,12000,1300,1300,ancnoexp_wild_Tvshelf_Tvbottle,no_exp,shelf,bottle,bi,
wild,5300,12000,1300,1300,ancnoexp_wild_Tvshelf_Tvbottle,no_exp,shelf,bottle,bi,
wild,3200,26000,1300,1300,ancnoexp_wild_Tvshelf_Tvbottle,no_exp,shelf,bottle,bi,
wild,490,10000,1300,1300,ancnoexp_wild_Tvshelf_Tvbottle,no_exp,shelf,bottle,bi,
wild,0,15000,1300,1300,ancnoexp_wild_Tvshelf_Tvbottle,no_exp,shelf,bottle,bi,
TV,5300,12000,1300,1300,ancnoexp_wild_Tvshelf_Tvbottle,no_exp,shelf,bottle,bi,
TV,3200,12000,1300,1300,ancnoexp_wild_Tvshelf_Tvbottle,no_exp,shelf,bottle,bi,
TV,1300,1800,1300,1300,ancnoexp_wild_Tvshelf_Tvbottle,no_exp,shelf,bottle,bi,
TV,0,1800,1300,1300,ancnoexp_wild_Tvshelf_Tvbottle,no_exp,shelf,bottle,bi,
anc,220000,100000,1300,1300,ancexp_wild_Tvshelf_Tvbottle,exp,shelf,bottle,bi,
anc,7600,8300,1300,1300,ancexp_wild_Tvshelf_Tvbottle,exp,shelf,bottle,bi,
anc,5300,12000,1300,1300,ancexp_wild_Tvshelf_Tvbottle,exp,shelf,bottle,bi,
wild,5300,12000,1300,1300,ancexp_wild_Tvshelf_Tvbottle,exp,shelf,bottle,bi,
wild,3200,26000,1300,1300,ancexp_wild_Tvshelf_Tvbottle,exp,shelf,bottle,bi,
wild,490,10000,1300,1300,ancexp_wild_Tvshelf_Tvbottle,exp,shelf,bottle,bi,
wild,0,15000,1300,1300,ancexp_wild_Tvshelf_Tvbottle,exp,shelf,bottle,bi,
TV,5300,12000,1300,1300,ancexp_wild_Tvshelf_Tvbottle,exp,shelf,bottle,bi,
TV,3200,12000,1300,1300,ancexp_wild_Tvshelf_Tvbottle,exp,shelf,bottle,bi,
TV,1300,1800,1300,1300,ancexp_wild_Tvshelf_Tvbottle,exp,shelf,bottle,bi,
TV,0,1800,1300,1300,ancexp_wild_Tvshelf_Tvbottle,exp,shelf,bottle,bi,
anc,220000,100000,1300,1300,ancnoexp_wild_Tvnoshelf_Tvbottle,no_exp,no_shelf,bottle,bi,
anc,5300,12000,1300,1300,ancnoexp_wild_Tvnoshelf_Tvbottle,no_exp,no_shelf,bottle,bi,
wild,5300,12000,1300,1300,ancnoexp_wild_Tvnoshelf_Tvbottle,no_exp,no_shelf,bottle,bi,
wild,1300,26000,1300,1300,ancnoexp_wild_Tvnoshelf_Tvbottle,no_exp,no_shelf,bottle,bi,
wild,490,10000,1300,1300,ancnoexp_wild_Tvnoshelf_Tvbottle,no_exp,no_shelf,bottle,bi,
wild,0,15000,1300,1300,ancnoexp_wild_Tvnoshelf_Tvbottle,no_exp,no_shelf,bottle,bi,
TV,5300,12000,1300,1300,ancnoexp_wild_Tvnoshelf_Tvbottle,no_exp,no_shelf,bottle,bi,
TV,1300,1800,1300,1300,ancnoexp_wild_Tvnoshelf_Tvbottle,no_exp,no_shelf,bottle,bi,
TV,0,1800,1300,1300,ancnoexp_wild_Tvnoshelf_Tvbottle,no_exp,no_shelf,bottle,bi,
anc,220000,100000,1300,1300,ancexp_wild_Tvnoshelf_Tvbottle,exp,no_shelf,bottle,bi,
anc,7600,8300,1300,1300,ancexp_wild_Tvnoshelf_Tvbottle,exp,no_shelf,bottle,bi,
anc,5300,12000,1300,1300,ancexp_wild_Tvnoshelf_Tvbottle,exp,no_shelf,bottle,bi,
wild,5300,12000,1300,1300,ancexp_wild_Tvnoshelf_Tvbottle,exp,no_shelf,bottle,bi,
wild,3200,26000,1300,1300,ancexp_wild_Tvnoshelf_Tvbottle,exp,no_shelf,bottle,bi,
wild,490,10000,1300,1300,ancexp_wild_Tvnoshelf_Tvbottle,exp,no_shelf,bottle,bi,
wild,0,15000,1300,1300,ancexp_wild_Tvnoshelf_Tvbottle,exp,no_shelf,bottle,bi,
TV,5300,12000,1300,1300,ancexp_wild_Tvnoshelf_Tvbottle,exp,no_shelf,bottle,bi,
TV,1300,1800,1300,1300,ancexp_wild_Tvnoshelf_Tvbottle,exp,no_shelf,bottle,bi,
TV,0,1800,1300,1300,ancexp_wild_Tvnoshelf_Tvbottle,exp,no_shelf,bottle,bi,
anc,220000,100000,1300,1300,ancexp_Tvnoshelf_Tvexpcon,exp,no_shelf,exp_con,bi,
anc,7600,8300,1300,1300,ancexp_Tvnoshelf_Tvexpcon,exp,no_shelf,exp_con,bi,
anc,5300,12000,1300,1300,ancexp_Tvnoshelf_Tvexpcon,exp,no_shelf,exp_con,bi,
