ind	miss
Ann1238	0.00233100233100233
IA1W_5	0.000814719261321203
SK1W_29R	0.00209337587978365
MO1W_38	0.00253468214633263
IA1W_11R	0.00212732251567203
KS2W_6	0.00270441532577455
KS2W_32	0.00237626451218684
KS1W_2	0.00294204177699323
ANN1198	0.00534093737977233
IA1W_39	0.00398307194423699
KS1W_32	0.00439043157489759
KS2W_35	0.00259125987281327
IA1W_2	0.00468463575259692
KS1W_35	0.00672143390589993
ANN1195	0.00867902324213004
KS1W_3	0.00768325525607079
IA1W_4	0.00778509516373594
SD1W_13	0.00847534342679974
SD2W_27	0.00938058705048996
KS2W_8	0.00832824133795008
ANN1187	0.00985583995292733
IA1W_33	0.0113834385679046
ANN1188	0.0102292529476996
KS2W_15	0.0115871183832349
ANN1203	0.0143594269807862
ANN1204	0.0147554710661507
MO1W_3	0.0170298956706724
KS1W_27	0.0158191323239867
IA1W_15	0.0174259397560368
ANN1154	0.018591440921538
ANN1174	0.0188064362821644
SK1W_22R	0.0128205128205128
KS2W_24	0.00897322741982936
KS1W_24	0.00891664969334872
KS1W_9	0.0158643945051712
ANN1172	0.0174485708466291
ANN1152	0.019474053454636
ANN1177	0.0212732251567203
ANN1151	0.02372869848598
ANN1178	0.0270215221671532
ANN1183	0.0283680720573924
MB1W_40	0.0248263063797044
ANN1160	0.0263652205399778
ANN1197	0.0263086428134972
ANN1193	0.0313553760155702
ANN1173	0.0288999026863105
IA2W_7	0.0256297100957295
ANN1209	0.0286170140539073
ANN1199	0.0329508679023242
ANN1176	0.0317514201009347
ANN1202	0.0353384479598072
ND1W_38	0.0330640233552855
IA2W_38	0.0379183922873243
IA1W_21	0.0363455314911626
ANN1205	0.0358815941340213
ANN1206	0.0363794781270509
KS2W_6_1R	0.0364021092176432
ANN1184	0.0390046846357526
ANN1419	0.038597325005092
ANN1182	0.0415054201461968
ANN1171	0.0415959445085659
ANN1180	0.0428859166723244
MB1W_16B	0.0417543621427117
ANN1190	0.0470160907054111
ANN1153	0.0443795686514133
ANN1181	0.0469368818883382
ANN1207	0.0460995315364247
ANN1191	0.0458392739946138
SD1W_4	0.0472424016113336
ANN1179	0.0504333853848417
Hopi_mapping_NEW	0.00304388168465838
Hopi_dye_NEW	0.153529318577862
Havasupai	0.124120216353226
Hopi_real_NEW	0.000113155452961278
Arikara	0.0976078937243986
MexCult3	0.263233530223822
MexCult9	0.515875710050467
Seneca	0.5683798402245
MexCult15	0.753818996537443
MexCult1	0.314176115146989
MexCult6	0.354606558490054
Anzac_Pueblo	0.149104940367076
Pueblo	0.119412949510037
Zuni	0.0818453391268925
Hidatsa	0.18325525607079
Mandan2	0.126983049313146
Laguna_Pueblo	0.138932265145857
Mandan1_PPN046	0.037182881843076
Ari_Man	0.298323036187114
Se_Strip_682a	0.33991898069568
Se_Purp	0.317559463190531
Ari_Broad	0.329429470206169
Seneca_137749	0.301615859868287
Paiute	0.647034195577885
